Show Name,Show ID,Show Rank,Genre,Sub Genre,Sub Sub Genre,Key Themes,Secondary Themes,Reason
Accidentally Yours,cd721b0c93c3e145c547cc7cc09fd02eaef43746,60,Romance,Contemporary Romance,Billionaire/CEO Romance,Hidden Identity;Actress Career;Secret Past;Single Father Romance;Industry Rivalry,Found Family;Protective Hero;Revenge;Underdog Success;Mystery,CEO's extreme wealth and corporate power dynamics with class disparity driving relationship obstacles matches billionaire romance despite actress protagonist and hidden assassin background.
Release That Witch,1bfb74095dc86bfeaecd4e4aa947734cea36b4ab,61,Fantasy,High Fantasy,Portal & Isekai,Modern Knowledge Advantage;Industrial Revolution;Witch Integration;Demon Warfare;Scientific Innovation,Kingdom Building;Political Intrigue;Succession War;Romantic Tension;Military Strategy,"Modern engineer transported to medieval fantasy world uses scientific knowledge to transform society, protect witches, and build defenses against demons, matching Portal & Isekai's definition of outsider with modern knowledge advantage."
First Love Never Dies,912d6bc67d4b8d731cedc2304068c51a108259ba,62,Drama,Family Drama (Better Name Needed),Estranged Family,Separated Twins;Identity Swap;Parent Trap Scheme;Family Secrets;Decade-Old Deception,Second Chance Romance;Misunderstandings;Romantic Rivalry;Emotional Reunion;Children as Matchmakers,"Quadruplets separated at birth orchestrate identity swap to reunite parents, exploring family disconnection through separation and reunion drama matching Estranged Family's focus on discovering roots and hidden lineage."
Strongest Replication,913829f5dfee04920e10464c4fd345235a006945,63,Fantasy,High Fantasy,Immortal Cultivation (Xianxia),Cultivation Realms;Trash-to-Power Journey;Copy Ability System;Sect Politics;Spirit Stones,Underdog Protagonist;Transmigration;Hidden Genius;Family Rivalry;Power Progression,"Transmigrated programmer with copy-paste ability advances through cultivation realms in Chinese-inspired world with family sect politics and spirit stones, matching Xianxia's qi cultivation and realm progression system."
Ties That Bind,3887dee1fdc57e814b8dd62ae1dea4223cce56eb,64,Romance,Contemporary Romance,Billionaire/CEO Romance,Arranged Marriage;Cold Husband Warms;Secret Identity;Modeling Career;Family Exploitation,Enemies-to-Lovers;Forced Proximity;Class Difference;Protective Hero;Hidden Depths,"Forced arranged marriage between struggling model and wealthy masked CEO with extreme wealth disparity and corporate power dynamics, matching Billionaire/CEO Romance's emphasis on power imbalance and luxury lifestyle contrasts."
A Queen Betrayed,0c76785eac6742da261c6d8de653fc19d2626628,65,Drama,Period Drama,Medieval Royal Drama,Court Intrigue;Royal Betrayal;Concubine Rivalry;Power Reclamation;Succession Crisis,Love Triangle;Political Machinations;Enemies-to-Lovers;Forbidden Romance;Shape-Shifter,Medieval kingdom setting with royal succession conflicts and court politics driving narrative. Queen Bronwyn's struggle against concubine through palace intrigue and political alliances matches Medieval Royal Drama's focus on royal court dynamics.
Rothman's Secret,7fd82ae1fc090b12b188b1584432a6616309ed9f,66,Romance,Contemporary Romance,Billionaire/CEO Romance,Secret Billionaire;Hidden Identity;Class Prejudice;Medical Debt Crisis;Family Humiliation,Misunderstandings;Identity Reveal;Protective Hero;In-Laws Conflict;Vindication Moments,"Secret heir hiding extreme wealth from wife creates power dynamics and class barriers in marriage, matching Billionaire/CEO Romance's wealthy tycoon character and rags-to-riches dynamic despite unusual secret identity angle."
Cultivation Online,28c61d2dabab14aa66230bc3164f9eea6653edfa,67,Fantasy,Low Fantasy,LitRPG & System,Virtual Reality;Cultivation System;Paralyzed Protagonist;Level Progression;Real-World Impact,VR Gaming;Disability Overcome;Mentor-Student Bond;Hidden Power;Underdog Rise,"Paralyzed player uses VR game with explicit cultivation mechanics including stats, levels, and system notifications where virtual achievements affect real body, matching LitRPG's game mechanics as fundamental reality."
Love Potion,4b1cde79a5380f86710cce1f300235a27be22c85,68,Fantasy,Low Fantasy,Urban Cultivation,Traditional Medicine;Meteor Powers;Healing Abilities;Multiple Love Interests;Urban Setting,Supernatural Healing;Harem Dynamic;Action-Romance;Protective Hero;Class Warfare,"Traditional Chinese medicine practitioner gains supernatural cultivation abilities from meteor in contemporary city setting, matching Urban Cultivation's traditional cultivation practices transplanted into modern urban environment."
Cutthroat Courtship,6880da09c04e5c9f9a4682311129a5661aa5e53c,69,Romance,Contemporary Romance,Billionaire/CEO Romance,Revenge Plot;Childhood Connection;Forced Marriage Clause;Business Rivalry;Identity Transformation,Enemies-to-Lovers;Second Chance;Dark Secrets;Protective Hero;Corporate Intrigue,"Powerful businesswoman and devoted billionaire navigate forced marriage condition with corporate power dynamics and revenge subplot, matching Billionaire/CEO Romance's wealthy protagonist and luxury corporate settings."
The Wish Lord,39769725765bb590e36aa104c462322e3b70fe2e,70,Fantasy,Low Fantasy,LitRPG & System,Wish System Mechanics;Stat Progression;Arranged Marriage Mission;Class Warfare;Power Acquisition,Underdog Rise;Harem Elements;Face-Slapping;Modern Setting;System Cheats,"Supernatural Wish System grants powers through explicit game mechanics with missions, stats, and system notifications in contemporary world, matching LitRPG's video game mechanics as fundamental reality despite modern setting."
Extra Life,0b4460849431fbbeb9189f8b511872b2f872cb53,71,Fantasy,Low Fantasy,LitRPG & System,Time Regression;VR Gaming;Guild Warfare;Economic Strategy;Second Chance,Underdog Story;Friendship;Strategic Gameplay;Mentorship;Redemption Arc,"VR MMO game world where protagonist sees explicit stats, guilds, crafting systems, and quest logs. While regression element exists, primary plot driver is navigating game mechanics and guild conflicts within Emberpoint Online, matching LitRPG definition with visible interface elements."
The Princess and The Sea Witch,317991c1818d23e6f25bf75e88d1385c18e6544c,72,Romantasy,Mythological Creatures,Witch & Magic User Romance,Supernatural Mentor;Healing Magic;Forced Marriage;Power Transformation;Court Conspiracy,Enemies-to-Lovers;Political Intrigue;Underdog Story;Revenge Plot;Dark Romance,"Sea Witch teaches Mira healing magic that intertwines with her romantic development with Prince Thorn. Magical abilities directly enhance relationship dynamics and drive plot forward, matching Witch & Magic User Romance definition where magic shapes romance."
Falling For The Beast,ea18ebab2c668dfa3ecc1bd2abef70aec736fa7b,73,Romantasy,Shapeshifter Romance,Shifter & Paranormal Romance,Mate Bonds;Cultural Clash;Polygamous Relationships;Beast Society;Survival in Alien World,Fish-Out-of-Water;Harem;Primal Romance;Forced Proximity;Alpha Males,"Human woman navigating Beast Men world with multiple shapeshifter types (leopards, snakes, apes) claiming mate bonds. Features primal instincts, territorial behavior, and diverse creature types with species-specific courtship rules matching Shifter & Paranormal Romance definition."
The Godfather's Son,bb2e5a5d07f1a91073fc44ee882bb2040c03aef1,74,Drama,Professional Drama,Mafia & Organized Crime (Can it be here?),Dual Identity;Criminal Empire;Arranged Marriage;Revenge Quest;Power Succession,Hidden Identity;Enemies-to-Lovers;Class Difference;Action;Underdog Story,"Orphaned heir discovering Tiger Group criminal empire while maintaining delivery driver cover. Features organized crime family dynamics, rising through criminal ranks, rival mafia families, and loyalty versus morality conflicts matching Mafia & Organized Crime definition."
The Golden Boy,9fc4c6e40fe641f8876355066a25a45289242270,75,Fantasy,Low Fantasy,LitRPG & System,System Awakening;Academic Rivalry;Hidden Powers;Family Business;Social Climbing,Underdog Story;Romance;Coming-of-Age;Revenge;Competition,"High school student with supernatural enhancement system providing visible notifications, stat improvements, and ability unlocks across academics, cooking, and combat. Contemporary setting with explicit game-like mechanics characters can see and interact with matches LitRPG definition."
Major League System,d814fa48842fa7a33ad3058e3f67e90418f2fa80,76,Science Fiction,Time Travel & Alternate Reality,Regression & Second Chance,Time Regression;Sports Drama;System Assistance;Second Chance;Rebuilding Relationships,Redemption Arc;Friendship;Coming-of-Age;Athletic Competition;Family Drama,"Baseball prodigy transported back ten years with future knowledge to prevent career-ending injury and save family. Uses foreknowledge strategically to change outcomes and avoid past mistakes, matching Regression & Second Chance definition with death/regret trigger and do-over focus."
For Better Or Worse,c6238cac76e10d643b0f6f376bca0e378c017a10,77,Romance,Contemporary Romance,Billionaire/CEO Romance,Arranged Marriage;CEO Romance;Class Difference;Cold Tycoon Melts;Contract Relationship,Enemies-to-Lovers;Family Drama;Power Imbalance;Slow Burn;Redemption,"Illegitimate daughter forced into arranged marriage with Hansen Group CEO for inheritance purposes. Features extreme wealth disparity, corporate power dynamics, and cold wealthy protagonist transforming through love matching Billionaire/CEO Romance definition with class barriers as central conflict."
My Sister's Husband,5c3f615b803bbdbde3683a8016bc7c1e73760899,78,Romance,Contemporary Romance,Dark Romance,Forbidden Love;Family Secrets;Inheritance Drama;Love Triangle;Sister Rivalry,Betrayal;Identity Discovery;Class Difference;Second Chances;Family Drama,"Artist trapped between businessman fiancé and his relationship with her half-sister, complicated by arranged marriage for inheritance. Features morally complex characters, obsessive dynamics, trauma bonding, and dangerous attraction matching Dark Romance definition with emotional volatility and power imbalances."
The Accidental Seduction,0e6a6e7294d98a1bdbc6a9c499dad816c5852c7d,79,Romance,Contemporary Romance,Dark Romance,Contract Marriage;CEO Romance;Kidnapping Origin;Medical Crisis;Power Imbalance,Forced Proximity;Possessive Male Lead;Class Difference;Secrets and Lies;Redemption,"Model enters contract marriage with CEO who initially kidnapped her, needing money for brother's surgery. Features morally complex relationship foundation, obsessive behavior, control dynamics, and secrets threatening connection matching Dark Romance with dangerous attraction and psychological intensity."
Destiny's Play,2b414ead7ac23a7891f1e7c03d5ebe90b39d182e,80,Romance,Contemporary Romance,Dark Romance,Contract Marriage;Corporate Power Play;Trauma Bonding;Master-Servant Dynamic;Psychological Manipulation,Possessive Male Lead;Enemies-to-Lovers;Identity Struggle;Second Chances;Revenge Plot,"Contemporary CEO romance centered on contract with explicit master-servant terms and Ryan's psychological instability from past trauma. Features morally complex power dynamics, obsessive behavior, and transformation from transaction to genuine connection matching Dark Romance definition."
Entwined By Fate,f7de7f4020362c621d10ad54db1d39c8c8ba921c,81,Romance,Contemporary Romance,Billionaire/CEO Romance,Marriage of Convenience;Secret Marriage;Billionaire Romance;Workplace Romance;Past Trauma,Family Betrayal;Mystery Elements;Corporate Intrigue;Protective Hero;Hidden Identity,"Marriage of convenience between pragmatic sales professional and mysterious billionaire CEO drives central romance plot. Wealthy tycoon protagonist, power imbalance, luxury lifestyle, and corporate setting match Billionaire/CEO Romance definition and key themes."
Unraveling The Son-In-Law,36c5cac1ad9082caa0c892cff0c8225eae05012f,82,Drama,Family Drama (Better Name Needed),Toxic Family & Redemption,Hidden Identity;Underestimated Hero;Son-in-Law Dynamics;Face-Slapping Moments;Power Revelation,Revenge Plot;Action Sequences;Corporate Warfare;Protective Husband;Criminal Underworld,"Frazer endures relentless emotional abuse and humiliation from wife's family while hiding extraordinary capabilities. Story centers on escaping toxic family dynamics and establishing boundaries, matching Toxic Family & Redemption's focus on breaking free from abuse."
Dr. Crackerjack's Marriage,4f1c86cfd0af4e595cc9f1eb2a59ca6207ce8b56,83,Fantasy,Low Fantasy,Urban Cultivation,Hidden Powers;Medical Genius;Family Redemption;Supernatural Threats;Underestimated Husband,Son-in-Law Dynamics;Face-Slapping;Cultivation Elements;Mystery Conspiracy;Protective Hero,Mark awakens extraordinary healing powers and fights supernatural cult while maintaining normal marriage facade. Traditional cultivation-style power system in contemporary urban setting with hidden sects and dual identity matches Urban Cultivation definition.
My Knight In The Dark,8ab432b4a3575f3b5db88f5a9aca324f0f627781,84,Romance,Contemporary Romance,Billionaire/CEO Romance,Divorce Recovery;Mysterious Benefactor;Masked Identity;Second Chance Romance;Personal Empowerment,Betrayal Revenge;Identity Mystery;Protective Hero;Career Woman;Found Family,"Recently divorced Amy rebuilds life with support from masked wealthy businessman. Mysterious billionaire rescuer, power imbalance, financial support, and luxury lifestyle match Billionaire/CEO Romance despite masked identity twist."
Billionaire's Hired Wife,ea26229f214af3ef7f8cfc514a3d3da8fa0f51e8,85,Romance,Contemporary Romance,Billionaire/CEO Romance,Surrogacy Contract;Marriage of Convenience;Family Rejection;High-Risk Pregnancy;Chosen Family,Vindictive Ex;Class Barriers;Legal Drama;Protective Hero;Found Family,"Former surrogate marries wealthy hotel magnate in unconventional arrangement that develops into genuine love. Wealthy CEO protagonist, contract marriage, power imbalance, and luxury lifestyle directly match Billionaire/CEO Romance key themes."
Check In For Love,4f894547b0f4188b7f7b6f0ba7b8a8faa72b6294,86,Romance,Contemporary Romance,Billionaire/CEO Romance,Nanny Romance;Single Father;Past Trauma;Child-Centered Love;Family Tragedy,Enemies-to-Lovers;Hidden Connection;Protective Hero;Grief Recovery;Class Barriers,"Barista becomes nanny for grieving CEO's daughter, developing romance complicated by tragic family connection. CEO protagonist, employer-employee power dynamic, class differences, and protective wealthy hero match Billionaire/CEO Romance definition."
Till Death Do Us Part,6728f1d53e6a3baa73ab13407d1d5ecfcc7021e7,87,Drama,Workplace Drama,Business & Corporate Drama,Family Betrayal;Corporate Revenge;Inheritance Battle;False Accusations;Power Reclamation,Strategic Romance;Scheming Stepsister;Military Past;Political Intrigue;Face-Slapping,"Isabelle fights to reclaim shares in ECM and expose stepsister's manipulation while partnering with Nolan. Primary conflict is corporate power struggle and boardroom battles for company control, matching Business & Corporate Drama focus on political maneuvering."
From Strangers To Soulmates,64815175ebd67fc21db87145d737a1e6846c3b53,88,Romance,Contemporary Romance,Billionaire/CEO Romance,Secret Children;Boss-Secretary Romance;Hidden Identity;One-Night Stand Consequences;Inheritance Battle,Family Conspiracy;Corporate Intrigue;Twins;Dramatic Irony;Protective Hero,"Single mother becomes secretary to powerful CEO who unknowingly fathered her twins years ago. Wealthy CEO, disguised employee, extreme power imbalance, and class disparity perfectly match Billionaire/CEO Romance definition and key themes."
Phoenix,74a64701a638decb45c5212ceef709808fd37ba7,89,Romance,Contemporary Romance,Dark Romance,Public Humiliation Recovery;Mafia Romance;Redemption Arc;Obsessive Pursuit;Family Betrayal,Criminal Underworld;Protective Anti-Hero;Vengeful Ex;Action Thriller;Power Reversal,"Disgraced socialite rebuilds life and develops dangerous romance with mafia leader Ryan West. Morally complex circumstances, obsessive dangerous love, criminal underworld violence, and trauma bonding match Dark Romance's emphasis on intense emotionally volatile relationships."
Love Locked & Loaded,8a3e6a5acfc9967cdba2a2128b6af83948393c92,90,Drama,Family Drama (Better Name Needed),Estranged Family,Memory Loss;Inheritance Theft;Custody Battle;Programming Genius;Identity Reclamation,Second Chance Romance;Corporate Competition;Terminal Illness;Hidden Abilities;Family Conspiracy,"Kate fights to reclaim inheritance from manipulative stepmother and reconnect with son after suspicious accident caused amnesia. Story centers on disinheritance, separation from family, and search for belonging, matching Estranged Family's focus on disconnection and reunion."
Love In Overtime,89ab5707931950fbcd9b3512303077d411dc11b3,91,Romance,Contemporary Romance,Sports Romance,Secret Baby;Medical Crisis Stakes;Sports Career Drama;Powerful Family Opposition;Second Chance Love,Protective Hero;Single Parent Struggle;Class Warfare;Possessive Romance;Childhood Sweethearts,"Logan's professional hockey career and team dynamics drive plot alongside Katie hiding their son Tommy. Sports pressures, championship stakes, and athletic identity central to relationship development match Sports Romance definition of balancing athletic demands with love."
Twisted Fates,14736031ac9fd8f9a5bb16a24194bbd881a94d50,92,Romantasy,Shapeshifter Romance,Werewolf Romance,Double Mate Bond;Academy Survival;Omega Persecution;Pack Hierarchy Politics;Trauma and Justice,Forbidden Love;Dark Romance;Enemies-to-Lovers;Underdog Fighter;Revenge Quest,"Werewolf pack structures with alpha/omega dynamics and mate bonds through scent recognition drive the romance. Helanie's forbidden stepbrother mate bond and wolf academy setting match Werewolf Romance themes of pack loyalty, territorial marking, and rejection trauma."
Divorcing The Don,0c080323c3c8d88b598958a1ac1c422427199339,93,Drama,Workplace Drama,Business & Corporate Drama,Hidden Identity Reveal;Underestimated Protagonist;Divorce Regret;Corporate Power Games;Family Manipulation,Dramatic Irony;Revenge Satisfaction;Face-Slapping Moments;Power Fantasy;Second Chance,"Corporate power struggles over Sterling Jewelry empire equivalent and Gateway Group control drive narrative. Ethan's hidden business connections, medical genius status, and systematic dismantling of those who underestimated him match Business & Corporate Drama themes of strategic maneuvering and climbing ladder."
War Of All Worlds,8d2edc5acb47342040bfabad6f9ca3adefae0b5d,94,Fantasy,High Fantasy,Mythical Cultivation (Xuanhuan),Military Academy Setting;Mysterious Golden Tome;Monster DNA Powers;Father-Son Bond;Institutional Corruption,Underdog Hero;Power Progression;War Against Demons;Mentor-Student Dynamics;Political Intrigue,"Eclectic power systems combining Golden Tome prophecies, monster DNA tinctures, and academy cultivation create unique magical framework. Multiple competing educational paths and flexible power sources beyond pure qi match Xuanhuan's definition of diverse magical systems and mysterious fantasy elements."
"Yes, Maybe, No",5a86891c16007a6badeb88565c262e067219a938,95,Romance,Contemporary Romance,Workplace Romance,Boss-Employee Romance;Hidden Depths CEO;Past Betrayal Trauma;Workplace Rivalry;Class Divide,Enemies-to-Lovers;Slow Burn;Protective Hero;Emotional Healing;Second Chance,"CEO Mark and HR employee Stella's attraction creates forbidden office romance at Vaicom Enterprise. Professional boundaries, career complications from their relationship, and Macy's use of workplace authority against Stella match Workplace Romance themes of professional reputation risk and navigating office policies."
Immortal Heroes,f79786c4623b79e47998886f46fdac1aa2022a20,96,Fantasy,Low Fantasy,Urban Cultivation,Hidden Divine Identity;Arranged Marriage;Cultivation Hierarchy;Family Power Struggle;Underestimated Protagonist,Face-Slapping Moments;Revenge Plot;Power Fantasy;Romantic Development;Hidden Expert,Traditional cultivation system with acquired-stage and post-celestial practitioners operating secretly in contemporary Portland. Matthew's Celestial Divine Lord status hidden in modern city with cultivation sects maintaining dual identities matches Urban Cultivation definition of balancing cultivation realm progression with contemporary cover.
The Chef And The Duke,9b653963405233b0f10aece32921624bd418e421,97,Romance,Contemporary Romance,Billionaire/CEO Romance,Royal Romance;Chef Protagonist;Class Divide Drama;Family Opposition;Hidden Identity,Forbidden Love;Cinderella Story;Enemies-to-Lovers;Slow Burn;Royal Intrigue,"Duke Leopold's extreme wealth and royal status versus Mia's working chef background creates massive power imbalance. Contemporary setting with luxury lifestyle, class barriers enforced by the Duchess, and Leo's initial concealment of identity match Billionaire/CEO Romance themes despite royal rather than corporate source of wealth."
No Feelings Allowed,080a353edb1c073628d722c39c72f3ac4b73a48a,98,Romance,Contemporary Romance,Billionaire/CEO Romance,Marriage of Convenience;Contract Romance;Corporate Succession War;Escape From Trauma;Fake Relationship,Enemies-to-Lovers;Forced Proximity;Slow Burn;Protective Hero;Secret Identity,Alexander's position as heir to Sterling Jewelry empire and battle for CEO position against cousin James creates corporate backdrop. Extreme wealth disparity between billionaire Alexander and orphan Charlotte with contract marriage arrangement matches Billionaire/CEO Romance themes of power imbalance and cold tycoon melting through love.
Titans of Texas,4e718ddffa62e5dba2c1420a68e2132eabcd65c4,99,Romantasy,Shapeshifter Romance,Werewolf Romance,Fated Mate Bond;Alpha Dominance;Pack Politics;Human-Supernatural Divide;Reluctant Leadership,Enemies-to-Lovers;Forced Proximity;Dark Secrets;Political Intrigue;Power Struggle,"Werewolf pack dynamics with mate bonds central to plot. Liora as human must navigate alpha politics while developing fated mate connection with Xavier, matching scent-based recognition and pack hierarchy themes of Werewolf Romance."
Bridge To West,10e401d16df2499010895c6884b9ca7e6cd0a0b4,100,Romance,Contemporary Romance,Billionaire/CEO Romance,Post-Divorce Reconciliation;Fake Marriage Arrangement;Corporate Scandal Drama;Class Barriers;Family Opposition,Second Chance Romance;Enemies-to-Lovers;Forced Proximity;Emotional Healing;Slow Burn,"Post-divorce couple forced into fake marriage to save Oliver's company reputation creates central conflict. Business scandal, class warfare with West family, and pretend marriage while living together match Billionaire/CEO Romance themes of wealth disparity and corporate power dynamics."
